,text,encoded
0,"The soil I’m walking over comes    from deeper: a fire had done it in,    a stewpot had suddenly popped    and its contents streamed    out wave over wave until    it reached the water, until the sea    called it a day and struck back    with a counterwave. Stony nightblack    dreambarren land where tawny    thyme wrestles up and thistle is stitched    to every bare thing. Over this malevolence    I carry you in me,    sevenmonths deadchild, out to the sea",False
1,the close air of the earth whence she derived is. First sightings of the blistered Januarycolored like the vibrant cray on. The midwife slapped your footsoles. Many of them. A finger to his chair. He has sawn and roasted for the morrow Never let this season go. But no thin fire Broke suddenly. It was unearthly but you and called me to go netted through that much. He with his rubber sword. Hear him by at first sight as if one were playing while everywhere hands are soft as a death. But it can't hold her. I have been carved from glaciers. Will you become A milliner to cover the rock. After centuries of island ancestors.,True
2,"Lyric night of the lingering Indian Summer,
Shadowy fields that are scentless but full of singing, 
Never a bird, but the passionless chant of insects, ; Ceaseless, insistent.  
The grasshopper’s horn, and far-off, high in the maples, 
The wheel of a locust leisurely grinding the silence 
Under a moon waning and worn, broken, ; Tired with summer.   
Let me remember you, voices of little insects,
Weeds in the moonlight, fields that are tangled with asters, 
Let me remember, soon will the winter be on us, ;Snow-hushed and heavy.  
Over my soul murmur your mute benediction,
While I gaze, O fields that rest after harvest,
As those who part look long in the eyes they lean to, ; Lest they forget them.",False
3,"“Percussus sum sicut foenum, et aruit cor meum.” —Ps. ci.    Wintertime nighs;
But my bereavement-pain
It cannot bring again: ;   Twice no one dies. ;   Flower-petals flee;
But, since it once hath been,
No more that severing scene ;   Can harrow me. ;   Birds faint in dread:
I shall not lose old strength
In the lone frost's black length: ;   Strength long since fled! ;   Leaves freeze to dun;
But friends can not turn cold
This season as of old ;   For him with none. ;   Tempests may scath;
But love can not make smart
Again this year his heart ;   Who no heart hath. ;   Black is night's cope;
But death will not appal
One who, past doubtings all, ;   Waits in unhope.",False
4,"I should be happy with my lot: A wife and mother – is it not Enough for me to be content? What other blessing could be sent? A quiet house, and homely ways, That make each day like other days; I only see Time’s shadow now Darken the hair on baby’s brow! No world’s work ever comes to me, No beggar brings his misery; I have no power, no healing art With bruised soul or broken heart. I read the poets of the age, ’Tis lotus-eating in a cage; I study Art, but Art is dead To one who clamors to be fed With milk from Nature’s rugged breast, Who longs for Labor’s lusty rest. O foolish wish! I still should pine If any other lot were mine.",False
5,The shed ;   behind the barn behind the red cottage I waitfor her in the fescue grass the rye ;   I hear it grow over meWait for my friends in the distance ;   on fire their full headsof rust (I love how the clothing drips off them ;   I hear myself say)If the beekeeper doesn’t ;   come chasing behind with a hatchetI’ll wait behind Cobb’s barn ;   watching the distant housesShe will come down this road ;   my shadow is paving for hera stalk of honey ;   and the rye grass grows from her arms(She was raised in these hills ;   looking down on Elk Creek)and behind her the bluegrass ;   it’s reaching to touch her ankle,False
6,"A girl who, in 1971, when I was living by myself, painfully lonely, bereft, depressed, offhandedly mentioned to me in a conversation with some friends that although at first she’d found me— I can’t remember the term, some dated colloquialism signifying odd, unacceptable, out-of-things— she’d decided that I was after all all right ... twelve years later she comes back to me from nowhere and I realize that it wasn’t my then irrepressible, unselective, incessant sexual want she meant, which, when we’d been introduced, I’d naturally aimed at her and which she’d easily deflected, but that she’d thought I really was, in myself, the way I looked and spoke and acted, what she was saying, creepy, weird, whatever, and I am taken with a terrible humiliation.",False
7,"Protestants pray for grace, Scientists look to space. Jews find truth in the Torah, New Agers, in each other's aura. Catholics are blessed by a Pope, Yaquis enlightened by dope. Maoris use ritual chants, Navahos get up and dance. Muslims bow daily to Allah, Norsemen aspire to Valhalla. Feminists swear by a She, Quakers swear not, silently. Confucians kowtow to ancestors, Hare Krishnas, to airport investors. Hindus revere Lord Brahma, Richard Gere, the Dalai Lama. Baptists believe in the Ark, Physicists, in the quark. Moonies obey Reverend Sun, Mormons say Brigham's the one. Daoists extol yang and yin, Sufis transcend in a spin. Shintos seek peace where it's grassy, Rastas, in Haile Selassie. When we meet in the Afterlife, We can laugh at sectarian strife. But meanwhile back to the wars, 'Cause my God's better than yours.",False
8,"When, in disgrace with fortune and men’s eyes, I all alone beweep my outcast state, And trouble deaf heaven with my bootless cries, And look upon myself and curse my fate, Wishing me like to one more rich in hope, Featured like him, like him with friends possessed, Desiring this man’s art and that man’s scope, With what I most enjoy contented least; Yet in these thoughts myself almost despising, Haply I think on thee, and then my state, (Like to the lark at break of day arising From sullen earth) sings hymns at heaven’s gate; ;   For thy sweet love remembered such wealth brings ;   That then I scorn to change my state with kings.",False
9,bucks left behind it drops. After thinking. We have been lost The Victorian elmswhere he would come to surpass me in the same but words I was a being indoors to turn wheels of a first kiss. Such there is to help tune And think about feeling rich and a ring on his mother. The queen in people's stares through the breezes. That must chase e'en like a minaret out what would you were huge with what I found. G d rather done this hand. It was the canary's cage. Orin a two chests heaving above my daughter i have heard him go to me. It be my loneliness finds the lights At Chili s what happened to teach at their numbers to say that day Unstirred,True
